,board_id,root_hash,solution_id,size,difficulty,missing_cells,puzzle_grid,solution_grid
58,S4_medium_06f8c303a7c14438,06f8c303a7c14438,3412123423414123,4,medium,8,"[[0, 4, 1, 2], [0, 0, 3, 0], [2, 0, 0, 1], [4, 1, 0, 0]]","[[3, 4, 1, 2], [1, 2, 3, 4], [2, 3, 4, 1], [4, 1, 2, 3]]"
59,S4_easy_06f8c303a7c14438,06f8c303a7c14438,3412123423414123,4,easy,6,"[[0, 4, 1, 2], [1, 0, 3, 0], [2, 3, 0, 1], [4, 1, 0, 0]]","[[3, 4, 1, 2], [1, 2, 3, 4], [2, 3, 4, 1], [4, 1, 2, 3]]"
60,S4_hard_a747cbbd876b44c4,a747cbbd876b44c4,4123324123141432,4,hard,11,"[[0, 0, 0, 0], [0, 0, 4, 0], [2, 0, 0, 4], [1, 0, 3, 0]]","[[4, 1, 2, 3], [3, 2, 4, 1], [2, 3, 1, 4], [1, 4, 3, 2]]"
61,S4_medium_a747cbbd876b44c4,a747cbbd876b44c4,4123324123141432,4,medium,8,"[[4, 0, 0, 0], [3, 2, 4, 0], [2, 0, 0, 4], [1, 0, 3, 0]]","[[4, 1, 2, 3], [3, 2, 4, 1], [2, 3, 1, 4], [1, 4, 3, 2]]"
62,S4_easy_a747cbbd876b44c4,a747cbbd876b44c4,4123324123141432,4,easy,6,"[[4, 0, 2, 0], [3, 2, 4, 0], [2, 0, 0, 4], [1, 4, 3, 0]]","[[4, 1, 2, 3], [3, 2, 4, 1], [2, 3, 1, 4], [1, 4, 3, 2]]"
63,S4_hard_dd3dfd18b6e7d59d,dd3dfd18b6e7d59d,1324243131424213,4,hard,11,"[[0, 3, 0, 4], [0, 0, 0, 1], [0, 0, 0, 0], [0, 2, 1, 0]]","[[1, 3, 2, 4], [2, 4, 3, 1], [3, 1, 4, 2], [4, 2, 1, 3]]"
64,S4_medium_dd3dfd18b6e7d59d,dd3dfd18b6e7d59d,1324243131424213,4,medium,8,"[[0, 3, 0, 4], [2, 0, 0, 1], [0, 1, 0, 0], [0, 2, 1, 3]]","[[1, 3, 2, 4], [2, 4, 3, 1], [3, 1, 4, 2], [4, 2, 1, 3]]"
65,S4_easy_dd3dfd18b6e7d59d,dd3dfd18b6e7d59d,1324243131424213,4,easy,6,"[[0, 3, 0, 4], [2, 4, 3, 1], [0, 1, 0, 0], [0, 2, 1, 3]]","[[1, 3, 2, 4], [2, 4, 3, 1], [3, 1, 4, 2], [4, 2, 1, 3]]"
66,S4_hard_36b0dcdc2084d1df,36b0dcdc2084d1df,4213134224313124,4,hard,11,"[[0, 0, 1, 0], [0, 3, 0, 2], [2, 0, 0, 1], [0, 0, 0, 0]]","[[4, 2, 1, 3], [1, 3, 4, 2], [2, 4, 3, 1], [3, 1, 2, 4]]"
67,S4_medium_36b0dcdc2084d1df,36b0dcdc2084d1df,4213134224313124,4,medium,8,"[[4, 0, 1, 0], [1, 3, 0, 2], [2, 0, 0, 1], [0, 0, 0, 4]]","[[4, 2, 1, 3], [1, 3, 4, 2], [2, 4, 3, 1], [3, 1, 2, 4]]"
68,S4_easy_36b0dcdc2084d1df,36b0dcdc2084d1df,4213134224313124,4,easy,6,"[[4, 0, 1, 0], [1, 3, 0, 2], [2, 0, 0, 1], [3, 0, 2, 4]]","[[4, 2, 1, 3], [1, 3, 4, 2], [2, 4, 3, 1], [3, 1, 2, 4]]"
69,S4_hard_cdc77b44f5444706,cdc77b44f5444706,3421214343121234,4,hard,11,"[[0, 0, 2, 0], [0, 1, 0, 3], [4, 0, 0, 0], [0, 0, 0, 4]]","[[3, 4, 2, 1], [2, 1, 4, 3], [4, 3, 1, 2], [1, 2, 3, 4]]"
70,S4_medium_cdc77b44f5444706,cdc77b44f5444706,3421214343121234,4,medium,8,"[[0, 0, 2, 0], [2, 1, 0, 3], [4, 0, 1, 2], [0, 0, 0, 4]]","[[3, 4, 2, 1], [2, 1, 4, 3], [4, 3, 1, 2], [1, 2, 3, 4]]"
71,S4_easy_cdc77b44f5444706,cdc77b44f5444706,3421214343121234,4,easy,6,"[[0, 0, 2, 0], [2, 1, 4, 3], [4, 0, 1, 2], [0, 2, 0, 4]]","[[3, 4, 2, 1], [2, 1, 4, 3], [4, 3, 1, 2], [1, 2, 3, 4]]"
72,S4_hard_11b70c8365b3795d,11b70c8365b3795d,1342421324313124,4,hard,11,"[[0, 0, 0, 0], [0, 2, 1, 0], [0, 0, 0, 0], [3, 1, 0, 4]]","[[1, 3, 4, 2], [4, 2, 1, 3], [2, 4, 3, 1], [3, 1, 2, 4]]"
73,S4_medium_11b70c8365b3795d,11b70c8365b3795d,1342421324313124,4,medium,8,"[[1, 0, 4, 0], [0, 2, 1, 0], [2, 0, 0, 0], [3, 1, 0, 4]]","[[1, 3, 4, 2], [4, 2, 1, 3], [2, 4, 3, 1], [3, 1, 2, 4]]"
74,S4_easy_11b70c8365b3795d,11b70c8365b3795d,1342421324313124,4,easy,6,"[[1, 3, 4, 0], [0, 2, 1, 0], [2, 0, 0, 1], [3, 1, 0, 4]]","[[1, 3, 4, 2], [4, 2, 1, 3], [2, 4, 3, 1], [3, 1, 2, 4]]"
75,S4_hard_bece11b09930b021,bece11b09930b021,4213134234212134,4,hard,11,"[[0, 0, 0, 0], [0, 3, 4, 0], [0, 0, 2, 0], [0, 1, 0, 4]]","[[4, 2, 1, 3], [1, 3, 4, 2], [3, 4, 2, 1], [2, 1, 3, 4]]"
76,S4_medium_bece11b09930b021,bece11b09930b021,4213134234212134,4,medium,8,"[[0, 0, 0, 0], [0, 3, 4, 2], [0, 0, 2, 1], [0, 1, 3, 4]]","[[4, 2, 1, 3], [1, 3, 4, 2], [3, 4, 2, 1], [2, 1, 3, 4]]"
77,S4_easy_bece11b09930b021,bece11b09930b021,4213134234212134,4,easy,6,"[[0, 0, 0, 3], [0, 3, 4, 2], [3, 0, 2, 1], [0, 1, 3, 4]]","[[4, 2, 1, 3], [1, 3, 4, 2], [3, 4, 2, 1], [2, 1, 3, 4]]"
78,S4_hard_89e0821b6b80a96b,89e0821b6b80a96b,2413132432414132,4,hard,11,"[[2, 0, 0, 3], [0, 0, 0, 0], [0, 2, 4, 1], [0, 0, 0, 0]]","[[2, 4, 1, 3], [1, 3, 2, 4], [3, 2, 4, 1], [4, 1, 3, 2]]"
79,S4_medium_89e0821b6b80a96b,89e0821b6b80a96b,2413132432414132,4,medium,8,"[[2, 0, 1, 3], [0, 0, 0, 0], [3, 2, 4, 1], [0, 0, 0, 2]]","[[2, 4, 1, 3], [1, 3, 2, 4], [3, 2, 4, 1], [4, 1, 3, 2]]"
80,S4_easy_89e0821b6b80a96b,89e0821b6b80a96b,2413132432414132,4,easy,6,"[[2, 0, 1, 3], [0, 3, 2, 0], [3, 2, 4, 1], [0, 0, 0, 2]]","[[2, 4, 1, 3], [1, 3, 2, 4], [3, 2, 4, 1], [4, 1, 3, 2]]"
81,S4_hard_b84cd0fc3bc6a9e6,b84cd0fc3bc6a9e6,4213312423411432,4,hard,11,"[[4, 0, 0, 0], [0, 1, 0, 0], [0, 0, 0, 1], [0, 0, 3, 2]]","[[4, 2, 1, 3], [3, 1, 2, 4], [2, 3, 4, 1], [1, 4, 3, 2]]"
82,S4_medium_b84cd0fc3bc6a9e6,b84cd0fc3bc6a9e6,4213312423411432,4,medium,8,"[[4, 0, 0, 0], [0, 1, 0, 4], [0, 3, 4, 1], [0, 0, 3, 2]]","[[4, 2, 1, 3], [3, 1, 2, 4], [2, 3, 4, 1], [1, 4, 3, 2]]"
83,S4_easy_b84cd0fc3bc6a9e6,b84cd0fc3bc6a9e6,4213312423411432,4,easy,6,"[[4, 0, 0, 0], [3, 1, 2, 4], [0, 3, 4, 1], [0, 0, 3, 2]]","[[4, 2, 1, 3], [3, 1, 2, 4], [2, 3, 4, 1], [1, 4, 3, 2]]"
84,S4_hard_2892f564b140e537,2892f564b140e537,2431132442133142,4,hard,11,"[[0, 0, 3, 0], [1, 0, 0, 4], [0, 2, 0, 0], [0, 1, 0, 0]]","[[2, 4, 3, 1], [1, 3, 2, 4], [4, 2, 1, 3], [3, 1, 4, 2]]"
85,S4_medium_2892f564b140e537,2892f564b140e537,2431132442133142,4,medium,8,"[[0, 4, 3, 1], [1, 0, 0, 4], [0, 2, 0, 0], [0, 1, 0, 2]]","[[2, 4, 3, 1], [1, 3, 2, 4], [4, 2, 1, 3], [3, 1, 4, 2]]"
86,S4_easy_2892f564b140e537,2892f564b140e537,2431132442133142,4,easy,6,"[[2, 4, 3, 1], [1, 0, 0, 4], [0, 2, 0, 3], [0, 1, 0, 2]]","[[2, 4, 3, 1], [1, 3, 2, 4], [4, 2, 1, 3], [3, 1, 4, 2]]"
87,S4_hard_aff0bc365b9c2e56,aff0bc365b9c2e56,3421213413424213,4,hard,11,"[[0, 0, 2, 1], [0, 0, 0, 0], [0, 3, 0, 0], [0, 0, 1, 3]]","[[3, 4, 2, 1], [2, 1, 3, 4], [1, 3, 4, 2], [4, 2, 1, 3]]"
88,S4_medium_aff0bc365b9c2e56,aff0bc365b9c2e56,3421213413424213,4,medium,8,"[[0, 0, 2, 1], [0, 0, 3, 0], [1, 3, 4, 0], [0, 0, 1, 3]]","[[3, 4, 2, 1], [2, 1, 3, 4], [1, 3, 4, 2], [4, 2, 1, 3]]"
89,S4_easy_aff0bc365b9c2e56,aff0bc365b9c2e56,3421213413424213,4,easy,6,"[[0, 0, 2, 1], [0, 0, 3, 0], [1, 3, 4, 2], [4, 0, 1, 3]]","[[3, 4, 2, 1], [2, 1, 3, 4], [1, 3, 4, 2], [4, 2, 1, 3]]"
90,S4_hard_44b314ac57ba31c4,44b314ac57ba31c4,3412123443212143,4,hard,11,"[[0, 0, 0, 2], [1, 0, 0, 0], [4, 3, 0, 0], [0, 0, 0, 3]]","[[3, 4, 1, 2], [1, 2, 3, 4], [4, 3, 2, 1], [2, 1, 4, 3]]"
91,S4_medium_44b314ac57ba31c4,44b314ac57ba31c4,3412123443212143,4,medium,8,"[[0, 0, 0, 2], [1, 2, 3, 4], [4, 3, 0, 0], [0, 0, 0, 3]]","[[3, 4, 1, 2], [1, 2, 3, 4], [4, 3, 2, 1], [2, 1, 4, 3]]"
